steam_id,name,current_price,release_price,last_update,release_date
252490,Rust,39.99,18.99,Sep 22 2021,Dec 14 2013
730,Counter-Strike 2,0,7.34,Dec 6 2018,Nov 1 2012
570,Dota 2,0,0,Jul 9 2013,Jul 9 2013
2622380,ELDEN RING NIGHTREIGN,39.99,39.99,Feb 12 2025,Feb 12 2025
553850,HELLDIVERSâ„¢ 2,39.99,39.99,Sep 22 2023,Sep 22 2023
578080,PUBG: BATTLEGROUNDS,0,29.99,Jan 10 2022,Mar 23 2017
413150,Stardew Valley,13.99,13.99,Feb 26 2017,Feb 26 2016
1086940,Baldur's Gate 3,59.99,59.99,Oct 6 2020,Oct 6 2020
440,Team Fortress 2,0,0,Oct 10 2007,Oct 10 2007
1671210,DELTARUNE,23.99,23.99,Jun 4 2025, Jun 4 2025
2543180,POPUCOM,16.19,16.19,May 23 2025, May 23 2025
236390,War Thunder,0,0,Aug 15 2013,Aug 15 2013
381210,Dead by Daylight,19.99,19.99,Apr 22 2016,Apr 22 2016
1245620,ELDEN RING,59.99,59.99,Nov 4 2021,Nov 4 2021
322170,Geometry Dash,4.99,3.99,May 6 2024,Dec 22 2014
218620,PAYDAY 2,9.99,29.99,Apr 20 2018,Aug 13 2013
1091500,Cyberpunk 2077,59.99,59.99,Jun 9 2019,Jun 9 2019
105600,Terraria,9.75,9.99,Oct 5 2023,Sep 9 2012